Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall
8.1,92.3,0.0,28.34,81.88,1.88
8.1,92.4,0.0,28.34,81.88,1.88
8.1,92.5,0.0,28.34,81.88,1.88
8.1,92.6,0.0,28.34,81.88,1.88
8.1,92.7,0.0,28.34,81.88,1.88
8.1,92.8,0.0,28.34,81.88,1.88
8.1,92.9,0.0,28.37,81.82,2.4
8.1,93.0,0.0,28.37,81.82,2.4
8.1,93.1,0.0,28.37,81.82,2.4
8.1,93.2,0.0,28.37,81.82,2.4
8.1,93.3,0.0,28.37,81.82,2.4
8.1,93.4,0.0,28.37,81.82,2.4
8.1,93.5,17.0,28.44,81.54,2.5
8.1,93.6,0.0,28.44,81.54,2.5
8.1,93.7,0.0,28.44,81.54,2.5
8.1,93.8,0.0,28.44,81.54,2.5
8.1,93.9,0.0,28.44,81.54,2.5
8.1,94.0,0.0,28.44,81.54,2.5
8.1,94.1,0.0,28.54,81.22,2.27
8.1,94.2,0.0,28.54,81.22,2.27
8.1,94.3,0.0,28.54,81.22,2.27
8.1,94.4,0.0,28.54,81.22,2.27
8.1,94.5,0.0,28.54,81.22,2.27
8.1,94.6,0.0,28.54,81.22,2.27
8.1,94.7,0.0,28.49,81.5,2.19
8.1,94.8,0.0,28.49,81.5,2.19
8.1,94.9,0.0,28.49,81.5,2.19
8.1,95.0,0.0,28.49,81.5,2.19
8.1,95.1,0.0,28.49,81.5,2.19
8.1,95.2,0.0,28.49,81.5,2.19
